"SCORE","GUESS","TRUTH","TEXT"
"0.9965928617270418","o","o","""@NurAyna_Diba: Disney ;) @anis_afiqah98 @syazafarzana3 @Miss_Thila @syeera_86 @fiqzr @JuitaAMH_98 http://t.co/TqDhRlq2Qy"""
"0.9926465108251572","o","o","@ANfxxx え…宮田さんの悪役…！？聴いてみたいです//////// あと先ほどのリプありがとうでした～！楽しみます！！d=(^o^)=b"
"0.9912686112664342","o","o","なながくれた〜(((o(*ﾟ▽ﾟ*)o))) lou若い〜！ あ〜ほんとありがとう大好き♡ http://t.co/OeO28frvuW"
"0.9911360260683375","o","o","@disney_pon ぽんちゃん、おはよう(^o^)こちらもいいお天気。昨日との温度差に(*_*)今日もよろしくね～(^o^)/"
"0.9893179301539162","o","o","By @dallasgoldbug of #WA1: 10/29/13 More Boston Bombing Disney Games -- http://t.co/0vif3BBLd0 See http://t.co/N5HWjU6g2L"
"0.9885418583779866","p","o","@kyndoee 😔😂😂😂😂😂😂😂😂 chillllllll"
"0.9885048967325519","o","o","@z_103hr しおりんありがと(；；)♡ これからもよろしくね( ˆoˆ )/ はやくDisney行こうね.｡.:*･'(*ﾟ▽ﾟ*)'･*:.｡."
"0.987001385501801","o","o","“@WaltDisneyWorld: VIDEO: Meet Richard, a greeter at Disney’s Grand Floridian Resort & Spa: http://t.co/Ai3ROgQJZi” IN LOVE, MADE MY DAY!"
"0.9848772673455132","o","o","$1 Disney :) http://t.co/bwmWzYrkyK http://t.co/fZNVs6TaFn"
"0.9846119465575351","o","o","@Izumisama ビックリしました(^◇^;)私も最終日にエントランスミッキーで参加します＼(^o^)／お会い出来たら嬉しいです(*^^*)"
"0.9838075663568171","o","o","東京駅からすでに仮装したちびっこ達が…(*^ω^*) ちびっこの王子さまとか…膝がすり減ってでもかしずきたくなる…っ！！///////"
"0.9830723754775195","o","o","@d_emi_1212 難しい！！(>_<) ショーパレなんかは、キャラに手振りたいし、踊りたいし、写真も撮りたいしで忙しいよね（笑） 写真上手く撮れるようになりたい〜(>_<)"
"0.9829287112343187","o","o","Photo: audreyii-fic: becausesometimesdreamsdocometrue: disney-tasthic: gastalicious-definition:... http://t.co/AjiyHrOgpB"
"0.9818127543262968","o","o","@DDianes RADIO DISNEY http://t.co/1t9NJGQDME RADIO MIX http://t.co/ffDStgGttq ps: o da radio mix vc vai ter que fazer o seu cadastro"
